genre: Experimental , number of tracks: 186
genre: experimental; psychedelic; folk , number of tracks: 1
genre: Downtempo , number of tracks: 6
genre: Rock & Roll , number of tracks: 1
genre: Freak-folk , number of tracks: 1
genre: Pop: Experimental , number of tracks: 1
genre: Breaks , number of tracks: 2
genre: Electro House , number of tracks: 8
genre: Acid House , number of tracks: 2
genre: Dream Pop , number of tracks: 3
genre: Chillstep , number of tracks: 4
genre: Progressive Trance , number of tracks: 1
genre: Instrumental Rock , number of tracks: 1
genre: North African , number of tracks: 6
genre: Greek , number of tracks: 3
genre: Sound Poetry , number of tracks: 4
genre: fieldrecording , number of tracks: 4
genre: Melodic Black Metal , number of tracks: 3
genre: SOUNDSCAPES , number of tracks: 1
genre: B.A.N.G , number of tracks: 16
genre: Post-Punk, Surf, Hardcore , number of tracks: 1
genre: weirdo carnival , number of tracks: 10
genre: singer-songwriter , number of tracks: 3
genre: Synthpop , number of tracks: 4
genre: Piano House , number of tracks: 1
genre: Pop-corn , number of tracks: 11
genre: Tech_House , number of tracks: 1
genre: Tech_Electro , number of tracks: 1
genre: Weather , number of tracks: 1
genre: Acoustic,Instrumental,Ambient, , number of tracks: 5
genre: Remix , number of tracks: 1
genre: Christmas , number of tracks: 1
genre: Electro , number of tracks: 1
genre: DONT HAVE ONE , number of tracks: 1770
